requirement,result,evidence,comment
Governance schema exists,PASS,database/schema-tables.csv,"All required profile lifecycle tables present"
Role column and role counts,PASS,database/schema-columns.csv,"Canonical role column present"
Idempotent reconciliation,PASS,test-output/database-reconciliation-bash-second-pass.txt,"No changes detected"
Superadmin governance UI,PASS,screenshots/01-superadmin.png,"Role and audit surfaces visible"
Firmware Admin full mapping editor,PASS,screenshots/02-firmware-admin-mapping-editor.png,"Editor visible and editable"
TimerState mapping edit 0x70/1/4,PASS,screenshots/03-firmware-admin-cip-edit.png,"Decimal class 112 equals 0x70"
Mapping persists after reload,PASS,test-output/live-browser-results.json,"Reload assertion passed"
Review submission,PASS,screenshots/04-review-submitted.png,"Real API submission returned 201"
Review snapshot digest,PASS,profiles/03-immutable-review-snapshot.json,"Snapshot digest equals version digest"
Draft mutation after submission,PASS,profiles/02-working-draft-after-review.json,"Later Draft uses Attribute 5"
Snapshot immutability,PASS,06-runtime-api-evidence.json,"Snapshot and published version remain Attribute 4"
Reviewer cannot read mutable Draft,PASS,04-role-permission-matrix.csv,"Denied by centralized policy"
Reviewer sandbox editable,PASS,screenshots/06-client-sandbox.png,"Simulation displays PASS"
Sandbox persistence and isolation,PASS,06-runtime-api-evidence.json,"750 ms stored only for reviewer one"
Reviewer comment,PASS,05-audit-log-sample.json,"REVIEW_COMMENTED recorded"
Reviewer acceptance,PASS,05-audit-log-sample.json,"REVIEW_ACCEPTED recorded"
Duplicate decision blocked,PASS,06-runtime-api-evidence.json,"Second decision returned 409"
Request changes route,PASS,06-runtime-api-evidence.json,"Separate review recorded CHANGES_REQUESTED"
Development publish authority,PASS,04-role-permission-matrix.csv,"Reviewer denied; Firmware Admin published"
Immutable Development package,PASS,firmware-package/package-immutability-check.txt,"Generated from published version"
Desktop Development channel,PASS,06-runtime-api-evidence.json,"Manifest and digest returned"
Production promotion authority,PASS,04-role-permission-matrix.csv,"Firmware Admin denied; Superadmin path exercised"
Audit append-only lifecycle,PASS,05-audit-log-sample.csv,"Required lifecycle actions recorded"
No firmware rewrite semantics,PASS,06-source-inspection-findings.md,"Publication is Console runtime configuration only"
Windows new-profile detection,NOT VERIFIED,04-windows-profile-propagation-test-results.json,"No current Windows run"
Windows mapping diff display,NOT VERIFIED,04-windows-profile-propagation-test-results.json,"No current installed screenshot/artifact"
Windows explicit apply,NOT VERIFIED,04-windows-profile-propagation-test-results.json,"No current installed execution"
Windows unchanged executable hash/version/PID,NOT VERIFIED,04-windows-profile-propagation-test-results.json,"Linux cannot prove packaged Win32 identity"
Windows runtime uses TimerState mapping,NOT VERIFIED,04-windows-profile-propagation-test-results.json,"No current installed execution"
Windows bad-profile rejection,NOT VERIFIED,04-windows-profile-propagation-test-results.json,"Unit coverage only"
Windows last-known-good rollback,NOT VERIFIED,04-windows-profile-propagation-test-results.json,"Unit coverage only"
Physical device mapping,NOT VERIFIED,06-runtime-api-evidence.json,"No bench/device access"
Disposable data cleanup,PASS,07-cleanup-verification.txt,"Zero verification profiles and users remain"
