area,result,evidence,notes
Database reconciliation,PASS,test-output/database-reconciliation-bash-second-pass.txt,"No changes detected on second pass"
Canonical role model,PASS,04-role-permission-matrix.csv,"Superadmin, Firmware Admin, Client Reviewer exercised"
Firmware Admin mapping editor,PASS,screenshots/03-firmware-admin-cip-edit.png,"TimerState 0x70/1/4 saved and reloaded"
Immutable review snapshot,PASS,profiles/03-immutable-review-snapshot.json,"Snapshot remains Attribute 4 after Draft changed to 5"
Client sandbox isolation,PASS,06-runtime-api-evidence.json,"Reviewer-one 750 ms value absent from reviewer-two"
Review comments and decisions,PASS,05-audit-log-sample.json,"Comment, acceptance, duplicate-decision rejection, and changes-requested route"
Development publication,PASS,screenshots/08-development-published.png,"Immutable accepted version published"
Firmware integration package,PASS,firmware-package/package-immutability-check.txt,"Published Attribute 4 present; Draft Attribute 5 absent"
Desktop profile channel,PASS,06-runtime-api-evidence.json,"Digest-addressed Development manifest returned by real API"
Audit history,PASS,05-audit-log-sample.csv,"Actor roles and lifecycle actions retained"
Installed Windows detect/diff/apply,NOT VERIFIED,04-windows-profile-propagation-test-results.json,"No current Windows Actions run"
Same-binary runtime mapping,NOT VERIFIED,04-windows-profile-propagation-test-results.json,"Requires installed Windows execution"
Installed bad-profile rejection and rollback,NOT VERIFIED,04-windows-profile-propagation-test-results.json,"Unit tests pass; installed proof absent"
Physical ESP32/WT32 validation,NOT VERIFIED,06-runtime-api-evidence.json,"Recorded evidence is explicitly simulated fixture only"
Overall,NOT READY,00-VERIFICATION-SUMMARY.md,"Core Windows propagation chain remains unverified"
