"Capability","Superadmin","Firmware Admin","Client Reviewer","UI Enforced","Server/API Enforced","Test Result","Notes"
"View all profiles","Allowed","Allowed","API currently exposes more than review candidates","Profile/Review navigation differs by role","Authenticated reads; reviewer scope too broad","NOT VERIFIED","Runtime blocked; reviewer least-privilege gap found in source"
"Edit shared Device Profile","Allowed","Allowed","Denied","Editor hidden for reviewer","draft.edit permission","NOT VERIFIED","Direct denial test blocked by missing schema"
"Change CIP mappings","Allowed","Allowed","Denied","Required editor controls absent","Covered only by broad draft.edit","FAIL","No dedicated CIP editor; API runtime blocked"
"Change implementation status","Allowed","Allowed","Denied","Only visible in development mode","Covered by broad draft.edit","NOT VERIFIED","Not runtime exercised"
"Change update rate / RPI","Allowed","Allowed","Denied","Editor control absent","Covered only by broad draft.edit","FAIL","Required UI workflow absent"
"Change timeout values","Allowed","Allowed","Denied","Editor control absent","Covered only by broad draft.edit","FAIL","Required UI workflow absent"
"Run Simulation Mode","Allowed","Allowed","Allowed","Controls exist on role pages","simulation.run permission","NOT VERIFIED","Database blocker prevented governed simulation"
"Generate Firmware Integration Package","Allowed","Allowed","Approved resources only","Firmware Admin export exists","Client-side only","FAIL","Uses working document, not immutable publication"
"Submit for Client Review","Allowed","Allowed","Denied","Firmware editor control exists","review.submit permission","NOT VERIFIED","Runtime blocked"
"View review comments","Allowed","Allowed","Allowed","Review page exists","Authenticated review read","NOT VERIFIED","Runtime blocked"
"Comment on review","Allowed","Allowed","Allowed","Review comment control exists","review.comment/respond permissions","NOT VERIFIED","Runtime blocked"
"Accept or request changes","Allowed","Denied","Allowed","Reviewer controls exist","review.decide permission","NOT VERIFIED","Runtime blocked"
"Publish accepted Development Profile","Allowed","Allowed","Denied","Publish control exists for Firmware/Superadmin","development.publish permission","NOT VERIFIED","Runtime blocked"
"Roll back Development Profile","Allowed","Allowed","Denied","History rollback control exists","development.rollback permission","NOT VERIFIED","Runtime blocked"
"View profile history and diffs","Allowed","Allowed","Review diff only","History UI on editor; review diff UI","Authenticated GET routes","NOT VERIFIED","Runtime blocked; reviewer reads are broader than UI"
"Promote Production/Frozen Profile","Allowed","Denied","Denied","Superadmin-only freeze control","production.promote permission plus lifecycle guards","NOT VERIFIED","Direct role attempts blocked by schema"
"Manage users","Allowed","Denied","Denied","No user-management UI found","Superadmin-only admin routes","FAIL","Required Superadmin UI absent"
"Assign roles","Allowed","Denied","Denied","No role-assignment UI found","Superadmin-only admin routes","NOT VERIFIED","Source exists; runtime blocked"
"Change global security settings","Allowed","Denied","Denied","No role workflow identified","security.manage permission for Superadmin","NOT VERIFIED","No practical runtime endpoint identified"
"View audit history","Allowed","Source/API allows","Source/API allows","No audit UI found","Authenticated profile audit GET","FAIL","Requested role-specific audit UI absent; read scope broad"
"Delete protected audit history","No API","No API","No API","No UI","No delete route; append-only service usage","PASS","No deletion surface found"
"View Review Candidate","Allowed","Allowed","Allowed","Reviewer page exists","review.inspect/authenticated reads","NOT VERIFIED","Runtime blocked"
"View object/tag map and connection model","Allowed","Allowed","Allowed","Review snapshot/details source exists","Authenticated reads","NOT VERIFIED","Runtime blocked"
"Use Client Sandbox","Allowed","Allowed","Allowed","Initialize/reset only","sandbox.use with per-user storage","FAIL","Required editable sandbox controls absent"
"Download approved client-facing resources","Allowed","Allowed","Expected allowed","No dedicated reviewer download verified","Version download is broadly authenticated","NOT VERIFIED","Runtime blocked and approval gating unclear"
